,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
123,2018-04-18 21:00:01+00:00,0.4199,0.0,0.859,CBS,0.141,When you realize there are TWO episodes of @CrimMinds_CBS tonight! ? Who’s ready for the double-episode season fina… https://t.co/CWVAHHeIGr,24
124,2018-04-18 18:57:45+00:00,0.7688,0.0,0.706,CBS,0.294,Giving you even more reasons to celebrate! ? See which CBS series are back for another year: https://t.co/O2LI0eJXTA https://t.co/H436kL1jSK,25
125,2018-04-18 17:00:03+00:00,0.5994,0.0,0.804,CBS,0.196,"Watch country star @blakeshelton belt out his beautiful ballad ""I Lived It"" at the 53rd #AMCawards:… https://t.co/w0WRmpQ6fk",26
126,2018-04-18 15:14:39+00:00,0.0903,0.125,0.736,CBS,0.14,RT @joshgroban: I AM SO HAPPY I COULD CRY BUT ITS MIDNIGHT IN JAPAN SO I WILL SLEEP BUT ????????????? #TonyAwards2018 https://t.co/NLss47K6…,27
127,2018-04-18 15:10:34+00:00,0.0,0.0,1.0,CBS,0.0,Broadway stars @SaraBareilles and @joshgroban will host @TheTonyAwards on June 10! Hear how these multi-talented ar… https://t.co/jy52FKd7t0,28
128,2018-04-17 00:26:33+00:00,0.0,0.0,1.0,CBS,0.0,Can you believe it’s been 11 years since @taylorswift13’s first-ever performance at the #ACMawards?! Look back at t… https://t.co/QHSPuJLLFb,29
129,2018-04-16 23:00:02+00:00,0.0,0.0,1.0,CBS,0.0,Waiting for the @ScorpionCBS season finale to start like… Tune in at 10/9c! https://t.co/peoDXtO707,30
130,2018-04-16 17:00:04+00:00,0.0,0.0,1.0,CBS,0.0,Cast your vote! #ACMawards https://t.co/57ZN5gr6Y1,31
131,2018-04-16 16:02:49+00:00,0.2714,0.071,0.806,CBS,0.123,RT @CBSTweet: #CBSRatingsNews: #ACMawards Dominate on #CBS.  Over 12 million Total Viewers.  +11% year to year increase!  Biggest audience…,32
132,2018-04-16 15:00:02+00:00,-0.296,0.167,0.833,CBS,0.0,"In case you missed it, watch the entire #ACMawards now: https://t.co/P3pgMJE2oh https://t.co/OOG2R0Mb4J",33
133,2018-04-16 06:11:41+00:00,0.5719,0.0,0.821,CBS,0.179,Relive a night of all-star country music performances and epic wins at the #ACMawards. Stream the entire show:… https://t.co/iA3SMVIhpA,34
134,2018-04-16 06:00:00+00:00,0.765,0.0,0.708,CBS,0.292,Multiple ACM Award Winners @KeithUrban and @carrieunderwood just added one more trophy to their collection with the… https://t.co/rMGCzOeJQK,35
135,2018-04-16 05:55:00+00:00,0.0,0.0,1.0,CBS,0.0,That's a wrap for the 53rd #ACMawards! ? https://t.co/jM0HKud3d6,36
136,2018-04-16 05:30:00+00:00,0.0,0.0,1.0,CBS,0.0,"To all of tonight's nominees, we tip our hats to you! ? #ACMawards https://t.co/eytEezfIgS",37
137,2018-04-16 05:00:00+00:00,0.636,0.0,0.682,CBS,0.318,Retweet if you think @carrieunderwood looks beautiful tonight! #ACMawards https://t.co/sqefiLBcXd,38
138,2018-04-16 05:00:00+00:00,0.128,0.1,0.776,CBS,0.123,"In case you missed any, here's a rundown of all the performers from Country Music's Party of the Year®:… https://t.co/KtRKXkUpmI",39
139,2018-04-16 03:56:42+00:00,0.5255,0.0,0.841,CBS,0.159,The #ACMawards crowd was roaring for Vocal Event Of The Year winners @KeithUrban and @carrieunderwood! Here is the… https://t.co/rFB5f2lVo7,40
140,2018-04-16 03:06:10+00:00,0.8392,0.123,0.437,CBS,0.44,RT @AmberLee_RN: Anyone else crying from that @Jason_Aldean acceptance speech?! Wow! Congrats Jason! #vegasstrong #ACMawards,41
